CaseId,ActivityId,Text,Activity,SpecificActivity
0,0,"Subject: Boat Hire Inquiry for Celebration Event

Dear Boathire Team,

I hope this message finds you well. I am writing to inquire about the availability of hiring a boat for a celebration event I am organising. 

The details are as follows:

- Event: 40th Birthday Party
- Date: 10th December 2023
- Timing: From 6:00 PM to 11:00 PM
- Number of Guests: 45

Could you please provide me with information on the available boats suitable for hosting approximately 45 guests and the associated costs? Additionally, I would appreciate details on the booking process and any terms and conditions I should be aware of.

Thank you very much for your assistance. I look forward to your response.

Best regards,
Sarah Thompson
s.thompson@example.com
07565 123456",Receive Enquiry,Receive Enquiry / Uncatered / Large Group
0,1,"Subject: Re: Boat Hire Inquiry for Celebration Event

Dear Sarah,

Thank you for reaching out to Boathire and considering us for your 40th Birthday Party celebration. We are delighted to assist you with your inquiry.

Based on the details you provided, the most suitable boat from our fleet for hosting approximately 45 guests would be The Aquaholic, which can accommodate up to 60 people.

Here are the details for The Aquaholic:

### The Aquaholic
- **Maximum Capacity:** 60 people
- **Availability:** 10th December 2023
- **Timing:** Available for your specified time from 6:00 PM to 11:00 PM
- **Catering Options:** Available with or without catering

#### Cost:
- **Charter Fee:** £900
- **Optional Catering (per person):** £35

#### Booking Process:
1. **Inquiry and Availability Confirmation:** Confirm your interest and we will hold the date for you.
2. **Booking Form:** Complete our booking form. We will send this to you once you confirm your interest.
3. **Deposit:** A deposit of 30% of the total charter fee is required to secure the booking.
4. **Final Payment:** The remaining balance must be paid 14 days before the event date.
5. **Terms and Conditions:** We will provide our full terms and conditions once you proceed with the booking. Generally, these include cancellation policies, liability clauses, and other customary terms to ensure a smooth experience.

To move forward with your booking or for any further questions, please reply to this email or contact us at 07565 123456. We recommend booking as soon as possible to ensure availability for your desired date.

Thank you for considering Boathire. We look forward to making your 40th Birthday Party a memorable event!

Best regards,

James  
Boathire Team  
info@boathire.com  
07565 123456",Send Offer,Send Offer / Uncatered / Pier Pressure
0,2,"Subject: Confirmation of Boat Hire Booking for Pier Pressure

Dear Boathire Team,

Thank you for your prompt response and for providing the details. I would like to confirm the booking for the boat ""Pier Pressure"" for the 40th Birthday Party on 10th December 2023.

Please let me know the next steps to complete the booking process, including any forms I need to fill out and how to arrange for the deposit payment.

Thank you again for your assistance. I look forward to your reply.

Best regards,
Sarah Thompson
s.thompson@example.com
07565 123456",Receive Booking,Receive Booking / Pier Pressure
1,0,"Subject: Enquiry About Boat Hire for a Private Celebration

Dear Boathire Team,

I hope this message finds you well. My name is Sarah Johnson, and I am writing to enquire about hiring a boat for a private celebration.

I am hosting a birthday party on Saturday, 15th July 2023, for 40 guests, and I am very interested in your services. Could you please provide me with information on the availability of a boat suitable for this number of guests, as well as the pricing for a rental period from 5:00 PM to 10:00 PM?

Additionally, I would appreciate any details about the onboard amenities and entertainment options available. 

Thank you in advance for your assistance.

Kind regards,
Sarah Johnson",Receive Enquiry,Receive Enquiry / Uncatered / Large Group
1,1,"Subject: Re: Enquiry About Boat Hire for a Private Celebration

Dear Sarah,

Thank you for reaching out to Boathire! We are delighted to hear that you are considering us for your upcoming birthday celebration.

Given that you are expecting 40 guests, we recommend chartering the Aquaholic, which can comfortably accommodate up to 60 people. Unfortunately, our other large vessel, the Harbor Harmony, will not be suitable for your party due to its 30-person capacity.

For the specified rental period from 5:00 PM to 10:00 PM on Saturday, 15th July 2023, the pricing for the Aquaholic is as follows:

- Boat Hire (without catering): £1,500
- Boat Hire (with catering): £2,500 (includes a selection of appetizers, main courses, desserts, and beverages)

The Aquaholic offers a range of onboard amenities to enhance your celebration, including:
- A spacious deck area ideal for mingling and dancing
- A fully equipped sound system for music and announcements
- Comfortable seating and dining areas
- Onboard restrooms

Additionally, we can arrange for the following entertainment options at an extra cost:
- Live DJ or band: £500
- Professional photographer: £300
- Decoration services: £200

Please let us know if you would like to proceed with the booking or if you have any further questions. We are here to make your celebration a delightful and memorable one.

Kind regards,

James  
Boathire Team  
[Contact Information]",Send Offer,Send Offer / Uncatered / Pier Pressure
1,2,"Subject: Confirmation of Boat Hire - Pier Pressure

Dear James,

Thank you for your detailed response and the information provided. After reviewing the options, I would like to confirm the booking of the Pier Pressure for my birthday celebration on Saturday, 15th July 2023.

Please reserve the Pier Pressure from 5:00 PM to 10:00 PM for 40 guests. I would also like to include the catering option for the event and opt for the following additional services:
- Live DJ or band
- Professional photographer

Could you please send me the final pricing breakdown and any necessary paperwork to complete the booking process?

Thank you once again for your assistance. I look forward to celebrating with Boathire.

Kind regards,  
Sarah Johnson",Receive Booking,Receive Booking / Pier Pressure
2,0,"Subject: Boat Hire Inquiry for 40th Birthday Party on 20th May

Dear Boathire Team,

I hope this message finds you well.

I am writing to inquire about hiring a boat for a special event. I am planning my 40th birthday party and I am looking for a unique venue to host approximately 35 guests. The date of the event is set for the 20th of May, 2023.

Could you please provide me with details on available boats suitable for this size of a group and any relevant pricing information? Additionally, I would appreciate knowing the available time slots on that day.

Thank you for your assistance. I look forward to your response.

Best regards,

[Your Name]
[Your Contact Information]",Receive Enquiry,Receive Enquiry / Uncatered / Large Group
2,1,"Subject: Re: Boat Hire Inquiry for 40th Birthday Party on 20th May

Dear [Your Name],

Thank you for considering Boathire for your 40th birthday celebration. We would be delighted to assist you in making this special event memorable.

For a group of approximately 35 guests, we have the following suitable option:

1. **Aquaholic (up to 60 people)**:
   - This boat can accommodate your group comfortably.
   - The charter can be arranged with or without catering.
   - We offer full and half-day hires, and a variety of time slots are available.

With regard to pricing:
- **Without catering**:
  - Half-day: £800
  - Full-day: £1,400
- **With catering** (includes a variety of menu options):
  - Half-day: £1,200
  - Full-day: £2,000

As for time slots on the 20th of May, we currently have availability, but I recommend booking soon to secure your preferred time. Typically, we offer:
- Morning Slot: 9:00 AM - 1:00 PM
- Afternoon Slot: 2:00 PM - 6:00 PM
- Full Day: 9:00 AM - 6:00 PM

Please let me know which option you prefer and if you have any specific catering requirements or other queries. We are here to help customize your event to meet your needs.

Looking forward to your response.

Best regards,

James
Boathire Team
[Contact Information]",Send Offer,Send Offer / Uncatered / Pier Pressure
2,2,"Subject: Confirmation of Booking for Pier Pressure on 20th May

Dear James,

Thank you for your prompt response and the detailed information.

I would like to confirm the booking of the Pier Pressure for my 40th birthday party on the 20th of May. Given the options, we prefer the full-day hire from 9:00 AM to 6:00 PM without catering.

Please let me know the next steps to secure the booking, including any deposit requirements and further arrangements.

Thank you for your assistance. I look forward to hearing from you soon.

Best regards,

[Your Name]
[Your Contact Information]",Receive Booking,Receive Booking / Pier Pressure
3,0,"Subject: Boat Hire Inquiry for Party Event on 15th June

Dear Boathire Team,

I hope this email finds you well.

I am writing to inquire about hiring a boat for a party event we are planning. The event is a birthday celebration for my sister, and we expect to have around 40 guests in attendance. We are looking to book the boat for Saturday, 15th June.

Could you please provide me with information on the available boats that can accommodate our group size and their respective prices? Additionally, we would need the boat from 4:00 PM until around 10:00 PM.

If you require any further details, please do not hesitate to ask. I look forward to your response.

Best regards,

Oliver Smith
oliver.smith@email.com
07411 123456",Receive Enquiry,Receive Enquiry / Uncatered / Large Group
3,1,"Subject: Re: Boat Hire Inquiry for Party Event on 15th June

Dear Oliver,

Thank you for reaching out to Boathire, and we are delighted to hear you are considering our services for your sister's birthday celebration.

Based on the number of guests you anticipate (around 40), the most suitable option from our fleet would be the Aquaholic, which can accommodate up to 60 people. Here are the details for the Aquaholic:

**Aquaholic (up to 60 people)**
- Charter Duration: 4:00 PM - 10:00 PM
- Boat hire (without catering): £1,500
- Boat hire (with catering): Price dependent on menu choices. We offer a range of catering options including canapés, buffet-style, and sit-down meals. Please let us know if you are interested in catering services, and we can provide you with a detailed menu and pricing.

If you choose our catering service, we can customize the menu to suit your preferences and dietary requirements. Additionally, the boat is equipped with a sound system and ample space for entertainment and dancing.

Please confirm if you would like to proceed with the booking for the Aquaholic or if you have any questions or additional requirements.

We look forward to making your sister's birthday event a memorable experience.

Best regards,

James
Boathire Team
info@boathire.com
01234 567890",Send Offer,Send Offer / Uncatered / Pier Pressure
3,2,"Subject: Confirmation of Booking for Pier Pressure on 15th June

Dear James,

Thank you for your prompt response and the information provided.

We are delighted to confirm the booking of the Pier Pressure for Saturday, 15th June from 4:00 PM until 10:00 PM for my sister's birthday celebration.

Please let us know if there are any further steps we need to take to finalize the booking. Additionally, could you provide information on payment methods and any deposit requirements?

Thank you for your assistance. We look forward to this special event.

Best regards,

Oliver Smith
oliver.smith@email.com
07411 123456",Receive Booking,Receive Booking / Pier Pressure
4,0,"Subject: Boat Hire Inquiry for Corporate Event on 15th November 

Dear Boathire Team,

I hope this message finds you well. I am writing to inquire about the availability and pricing of hiring a boat for a corporate event that I am planning. The details of the event are as follows:

- Event: Corporate Year-End Celebration
- Date: 15th November
- Time: 6:00 PM to 10:00 PM
- Number of guests: 45

We are keen to create a memorable experience for our team, and a boat party sounds like the perfect way to celebrate. Could you please provide information on the types of boats available for this number of attendees, along with the associated costs and any other relevant details?

I look forward to hearing from you soon.

Best regards,
Simon Donovan
Email: simon.donovan@example.com
Phone: 01234 567890",Receive Enquiry,Receive Enquiry / Uncatered / Large Group
4,1,"Subject: Re: Boat Hire Inquiry for Corporate Event on 15th November 

Dear Simon Donovan,

Thank you for reaching out to Boathire. We are delighted to hear that you are considering our services for your Corporate Year-End Celebration. Based on the details provided, I have outlined the options suitable for your event on 15th November:

### Available Boat:
#### The Aquaholic
- **Capacity:** Up to 60 people
- **Suitable for:** 45 guests

### Charter Details:
- **Date:** 15th November
- **Time:** 6:00 PM to 10:00 PM

### Pricing:
- **Hire Cost:**
  - Without Catering: £1,500 for 4 hours
  - With Catering: £2,500 for 4 hours (includes a selection of canapés, dinner, and beverages)

### Additional Information:
- **Catering Options:** We offer a variety of menu options to suit your preferences. Specific menus can be discussed based on your requirements.
- **Entertainment:** We can also arrange for onboard entertainment such as a DJ or live music if desired.
- **Facilities:** The Aquaholic is equipped with a fully stocked bar, a spacious deck for mingling, and an indoor area to ensure comfort regardless of the weather.

To proceed with the booking or request further details, please do not hesitate to contact us via email or phone. We would be more than happy to discuss your specific needs and ensure your event is a memorable one.

Looking forward to hearing from you soon.

Best regards,
James
Boathire Team
Email: info@boathire.co.uk
Phone: 01234 567890",Send Offer,Send Offer / Uncatered / Pier Pressure
4,2,"Subject: Confirmation of Boat Hire for Corporate Event on 15th November 

Dear James,

Thank you for your prompt response and the information provided. After reviewing the options, we have decided to proceed with booking *The Pier Pressure* for our corporate event on 15th November.

Please confirm the availability of *The Pier Pressure* for the given date and time (6:00 PM to 10:00 PM) and proceed with the booking.

Additionally, we would like to opt for the catering service, including a selection of canapés, dinner, and beverages.

Could you kindly provide details on the next steps to finalize the booking and any deposit requirements? We would also appreciate a copy of the catering menu at your earliest convenience.

Thank you once again for your assistance. We are looking forward to a fantastic evening.

Best regards,
Simon Donovan
Email: simon.donovan@example.com
Phone: 01234 567890",Receive Booking,Receive Booking / Pier Pressure
5,0,"Subject: Boat Hire Inquiry for Private Party on 18th November

Dear Boathire Team,

I hope this message finds you well.

I am writing to inquire about hiring a boat for a private party I am planning. We are looking to host around 40 guests. The event is a special celebration marking our company's 10th anniversary, and we would like to make it a memorable evening.

Could you please provide details on the availability and pricing for a suitable vessel on Saturday, 18th November? The event is scheduled to run from 6:00 PM to 10:00 PM. We would appreciate any recommendations you might have regarding boat options and any additional information that could help us in making this decision.

Thank you very much for your assistance. I look forward to hearing from you soon.

Best regards,

John Smith
",Receive Enquiry,Receive Enquiry / Uncatered / Large Group
